Framework,Benchmark,ProblemSize,Iteration,HostToDevice_ms,Kernel_ms,DeviceToHost_ms,Total_ms,Status
OpenCL,MatrixMultiplication,512,26,0.341088,1.680992,0.157408,3.002530,PASS
OpenCL,MatrixMultiplication,512,27,0.341440,1.680352,0.157440,3.026263,PASS
OpenCL,MatrixMultiplication,512,28,0.341728,1.682912,0.157408,2.987741,PASS
OpenCL,MatrixMultiplication,512,29,0.341216,1.681216,0.157440,3.023983,PASS
OpenCL,MatrixMultiplication,512,30,0.341408,1.676800,0.157568,3.030948,PASS
OpenCL,MatrixMultiplication,1024,1,1.763040,13.381280,0.641312,16.593286,PASS
OpenCL,MatrixMultiplication,1024,2,1.752160,13.397504,0.634944,16.590127,PASS
OpenCL,MatrixMultiplication,1024,3,1.749472,13.364032,0.634880,16.561947,PASS
OpenCL,MatrixMultiplication,1024,4,1.730016,13.386432,0.667872,16.608797,PASS
OpenCL,MatrixMultiplication,1024,5,1.755968,13.358432,0.634816,16.545816,PASS
OpenCL,MatrixMultiplication,1024,6,1.791264,13.376000,0.634816,16.609563,PASS
OpenCL,MatrixMultiplication,1024,7,1.802880,13.356128,0.635040,16.619819,PASS
OpenCL,MatrixMultiplication,1024,8,1.789792,13.396096,0.641760,16.644091,PASS
OpenCL,MatrixMultiplication,1024,9,1.757216,13.365056,0.634848,16.559154,PASS
OpenCL,MatrixMultiplication,1024,10,1.740832,13.361248,0.635104,16.543139,PASS
OpenCL,MatrixMultiplication,1024,11,1.761408,13.392832,0.634880,16.593575,PASS
OpenCL,MatrixMultiplication,1024,12,1.755744,13.359936,0.634848,16.585153,PASS
OpenCL,MatrixMultiplication,1024,13,1.772288,13.363392,0.634944,16.602222,PASS
OpenCL,MatrixMultiplication,1024,14,1.761536,13.380672,0.641056,16.599581,PASS
OpenCL,MatrixMultiplication,1024,15,1.740704,13.382112,0.634784,16.559706,PASS
OpenCL,MatrixMultiplication,1024,16,1.791584,13.359840,0.634816,16.605886,PASS
OpenCL,MatrixMultiplication,1024,17,1.779200,13.388544,0.634944,16.602660,PASS
