Framework,Benchmark,ProblemSize,Iteration,HostToDevice_ms,Kernel_ms,DeviceToHost_ms,Total_ms,Status
OpenCL,Reduction,5000000,17,4.654976,0.375712,0.001632,5.488055,PASS
OpenCL,Reduction,5000000,18,4.717216,0.375200,0.001632,5.542296,PASS
OpenCL,Reduction,5000000,19,4.673760,0.373792,0.001632,5.507345,PASS
OpenCL,Reduction,5000000,20,4.669696,0.377632,0.001632,5.510000,PASS
OpenCL,Reduction,5000000,21,4.678752,0.378752,0.001856,5.602318,PASS
OpenCL,Reduction,5000000,22,4.677024,0.379136,0.001632,5.515909,PASS
OpenCL,Reduction,5000000,23,4.698656,0.377216,0.001632,5.569047,PASS
OpenCL,Reduction,5000000,24,4.896448,0.375424,0.001664,5.766285,PASS
OpenCL,Reduction,5000000,25,4.685184,0.375264,0.001600,5.505736,PASS
OpenCL,Reduction,5000000,26,4.685696,0.374912,0.001600,5.505820,PASS
OpenCL,Reduction,5000000,27,4.705408,0.373376,0.001664,5.539065,PASS
OpenCL,Reduction,5000000,28,4.685504,0.376192,0.001632,5.510735,PASS
OpenCL,Reduction,5000000,29,4.695776,0.375104,0.001664,5.529412,PASS
OpenCL,Reduction,5000000,30,4.706752,0.375872,0.001600,5.580547,PASS
OpenCL,Reduction,10000000,1,9.573216,0.706688,0.001600,10.765965,PASS
OpenCL,Reduction,10000000,2,9.572352,0.711936,0.001632,10.774385,PASS
OpenCL,Reduction,10000000,3,9.555488,0.712800,0.001632,10.762568,PASS
OpenCL,Reduction,10000000,4,9.520032,0.711776,0.001632,10.722272,PASS
OpenCL,Reduction,10000000,5,9.518656,0.709952,0.001632,10.760750,PASS
OpenCL,Reduction,10000000,6,9.608320,0.710112,0.001632,10.791089,PASS
OpenCL,Reduction,10000000,7,9.630720,0.711328,0.001632,10.857618,PASS
OpenCL,Reduction,10000000,8,9.560576,0.714144,0.001600,10.789706,PASS
OpenCL,Reduction,10000000,9,9.516896,0.712384,0.001632,10.727512,PASS
OpenCL,Reduction,10000000,10,9.583840,0.711904,0.001632,10.791401,PASS
OpenCL,Reduction,10000000,11,9.531296,0.711776,0.001600,10.729587,PASS
OpenCL,Reduction,10000000,12,9.569824,0.713280,0.001728,10.794083,PASS
OpenCL,Reduction,10000000,13,9.573888,0.707712,0.001632,10.768594,PASS
OpenCL,Reduction,10000000,14,9.471744,0.708064,0.001600,10.658870,PASS
OpenCL,Reduction,10000000,15,9.593152,0.712896,0.001696,10.783155,PASS
OpenCL,Reduction,10000000,16,9.544192,0.708992,0.001632,10.739442,PASS
OpenCL,Reduction,10000000,17,9.558784,0.708384,0.001632,10.762187,PASS
OpenCL,Reduction,10000000,18,9.549312,0.708192,0.001632,10.742892,PASS
OpenCL,Reduction,10000000,19,9.539552,0.711680,0.001632,10.751075,PASS
OpenCL,Reduction,10000000,20,9.592384,0.710976,0.001600,10.796509,PASS
OpenCL,Reduction,10000000,21,9.555360,0.713728,0.001632,10.764052,PASS
OpenCL,Reduction,10000000,22,9.517312,0.712160,0.001632,10.736623,PASS
OpenCL,Reduction,10000000,23,9.604864,0.710720,0.001632,10.824965,PASS
OpenCL,Reduction,10000000,24,9.493792,0.712000,0.001632,10.674659,PASS
OpenCL,Reduction,10000000,25,9.536640,0.711488,0.001632,10.738590,PASS
OpenCL,Reduction,10000000,26,9.641952,0.709760,0.001600,10.856420,PASS
OpenCL,Reduction,10000000,27,9.560352,0.709760,0.001632,10.760954,PASS
OpenCL,Reduction,10000000,28,9.532512,0.711136,0.001632,10.745469,PASS
OpenCL,Reduction,10000000,29,9.518080,0.713024,0.001632,10.708012,PASS
OpenCL,Reduction,10000000,30,9.564608,0.711424,0.001600,10.784566,PASS
