Framework,Benchmark,ProblemSize,Iteration,HostToDevice_ms,Kernel_ms,DeviceToHost_ms,Total_ms,Status
CUDA,Reduction,10000000,16,8.957312,0.700000,0.013088,9.717280,PASS
CUDA,Reduction,10000000,17,8.920032,0.704064,0.014176,9.686765,PASS
CUDA,Reduction,10000000,18,9.026688,0.700128,0.013024,9.786158,PASS
CUDA,Reduction,10000000,19,9.115168,0.703808,0.013984,9.880263,PASS
CUDA,Reduction,10000000,20,8.966240,0.702208,0.011936,9.728027,PASS
CUDA,Reduction,10000000,21,8.944128,0.703168,0.014304,9.709762,PASS
CUDA,Reduction,10000000,22,9.000832,0.704320,0.012704,9.764390,PASS
CUDA,Reduction,10000000,23,8.913632,0.705280,0.014976,9.680888,PASS
CUDA,Reduction,10000000,24,8.940736,0.702240,0.011776,9.701692,PASS
CUDA,Reduction,10000000,25,9.020032,0.704928,0.015328,9.792963,PASS
CUDA,Reduction,10000000,26,8.972992,0.705312,0.012288,9.738994,PASS
CUDA,Reduction,10000000,27,8.989504,0.707968,0.013760,9.759545,PASS
CUDA,Reduction,10000000,28,9.057664,0.703328,0.011904,9.832762,PASS
CUDA,Reduction,10000000,29,8.959232,0.703040,0.012128,9.726003,PASS
CUDA,Reduction,10000000,30,9.055744,0.700384,0.014464,9.815600,PASS
